cord_uid,source_x,title,doi,license,abstract,publish_time,authors,journal,url,s2_id,year,abstract_word_count
y37p5ctx,WHO,SARCOMA EUROPEAN & LATIN AMERICAN NETWORK (SELNET) RECOMMENDATIONS ON PRIORITIZATION IN SARCOMA CARE DURING COVID-19 PANDEMIC,,unk,"BACKGROUND: COVID-19 outbreak has resulted in collision between SARS-CoV-2-infected patients and cancer patients on different fronts Serious SARS-CoV-2 cases overwhelmed hospital capacity, especially in intensive care units, causing a domino effect, displacing areas from their primary use Cancer patient has been impacted by deferral, modification or even cessation of therapy Adaptive measures to minimize hospital exposure, following the precautionary principle have been proposed for cancer care during COVID-19 era We present here a consensus on prioritizing recommendations across the continuum of sarcoma patient care MATERIAL AND METHODS: A total of 125 recommendations were proposed in soft-tissue, bone and visceral sarcoma care Recommendations were assigned as higher- or lower-priority if they cannot or can be postponed at least 2-3 months, respectively The consensus level for each recommendation was classified as ""strongly recommended"" (SR) if more than 90% of experts agreed, ""recommended"" (R) if 75-90% of experts agreed and ""no consensus"" (NC) if fewer than 75% agreed Sarcoma experts from 11 countries within the SELNET consortium participated, including countries in the Americas and Europe The ESMO-Magnitude of clinical benefit scale was applied to systemic-treatment recommendations to support prioritization RESULTS: There were 80 SR, 35 R and 10 NC among the 125 recommendations issued and completed by 31 multidisciplinary sarcoma experts The consensus was higher among the 75 higher-priority recommendations (85%, 12% and 3% for SR, R and NC, respectively) than in the 50 lower-priority recommendations (32%, 52% and 16% for SR, R and NC, respectively) CONCLUSION: The consensus on 115 of 125 recommendations indicates a high-level of convergence among experts The SELNET consensus provides a tool for sarcoma multidisciplinary treatment committees during the COVID-19 outbreak The details of different recommendations and the distinction between two priority levels enables a practical approach for both Latin-American and other health-care providers, and sarcoma expert centres IMPLICATIONS FOR PRACTICE: SELNET consensus on sarcoma prioritization care during the COVID-19 era, issued 125 pragmatical recommendations distributed as higher or lower priority, to protect critical decisions on sarcoma care during COVID-19 pandemic A multidisciplinary team from 11 countries, including countries in the Americas and Europe, reached consensus on 115 recommendations The consensus was lower among lower-priority recommendations, which shows reticence to postpone actions even in indolent tumors The ESMO-magnitude of clinical benefit scale was applied as support for prioritizing systemic treatment Consensus on 115 of 125 recommendations indicates a high-level of convergence among experts The SELNET consensus provides a practice tool for the guidance in the decisions of sarcoma multidisciplinary treatment committees during the COVID-19 outbreak",,"Martin-Broto, J.; Hindi, N.; Aguiar, S.; Jr.,; Badilla-González, R.; Castro-Oliden, V.; Chacón, M.; Correa-Generoso, R.; de Álava, E.; Donati, D. M.; Eriksson, M.; Falla-Jimenez, M.; German, G.; Silva, M. L. G.; Gouin, F.; Gronchi, A.; Haro-Varas, J. C.; Jiménez-Brenes, N.; Kasper, B.; de Mello, C. A. L.; Maki, R.; Martínez-Delgado, P.; Martínez-Said, H.; Martinez-Tlahuel, J. L.; Morales-Pérez, J. M.; Muñoz-Casares, F. C.; Nakagawa, S. A.; Ortiz-Cruz, E. J.; Palmerini, E.; Patel, S.; Moura, D. S.; Stacchiotti, S.; Sunyach, M. P.; Valverde, C. M.; Waisberg, F.; Blay, J. Y.",Oncologist,,221501978.0,,417
8suzkesb,WHO,"Detection and genetic characterization of community-based SARS-CoV-2 infections - New York City, March 2020",,unk,"To limit SARS-CoV-2 introduction, the United States restricted travel from China on February 2 and from Europe on March 13, 2020 By March 15, community transmission was widespread in New York City (NYC) The NYC Department of Health and Mental Hygiene conducted sentinel surveillance of influenza-like symptoms (ILS) and genetic sequencing to characterize community transmission and determine the geographic origin of SARS-CoV-2 infections Among 544 specimens tested from persons with ILS and negative influenza test results, 36 (6 6%) were positive Genetically sequenced positive specimens most closely resembled sequences circulating in Europe Partnering with health care facilities and establishing systems for sentinel surveillance with capacity for genetic sequencing before an outbreak can inform timely public health response strategies",,"Bushman, D.; Alroy, K. A.; Greene, S. K.; Keating, P.; Wahnich, A.; Weiss, D.; Pathela, P.; Harrison, C.; Rakeman, J.; Langley, G.; Tong, SuXiang Tao Ying Uehara A.; Queen, K.; Paden, C. R.; Szymczak, W.; Orner, E. P.; Nori, P.; Lai, P. A.; Jacobson, J. L.; Singh, H. K.; Calfee, D. P.; Westblade, L. F.; Vasovic, L. V.; Rand, J. H.; Liu, DaKai Vishnu Singh Burns J.; Nishant, Prasad Sell J.",American Journal of Transplantation,,220608343.0,,118
xea24lz6,PMC,Project Phoenix: A Benchmark for Reputation Management in Travel and Tourism,10.1016/b978-0-08-044666-0.50026-9,no-cc,Unknown,2009-11-16,"Yates, Michael",Tourism in Turbulent Times,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7155683/,,2009.0,1
b5cz5rnx,Elsevier; Medline; PMC,"Pragmatic, adaptive clinical trials: Is 2020 the dawning of a new age?",10.1016/j.conctc.2020.100614,no-cc,"Given the high case fatality rate of SARS-CoV-2, for which there is no cure and no vaccine, clinicians are forced to make decisions about how best to manage patients with limited high-quality evidence to guide treatment. Traditional randomized controlled trials provide strong experimental evidence, however, tend to be slow, inflexible, and have limited generalizability. Adaptive and pragmatic designs are an attractive alternative, which meet our ethical obligation during the SARS-CoV-2 pandemic to balance speed, agility, and generalizability with both prospective study and scientific rigor.",2020-07-17,"Branch-Elliman, Westyn; Lehmann, Lisa Soleymani; Boden, William E.; Ferguson, Ryan; Monach, Paul",Contemp Clin Trials Commun,https://api.elsevier.com/content/article/pii/S2451865420300983; https://www.ncbi.nlm.nih.gov/pubmed/32724866/; https://doi.org/10.1016/j.conctc.2020.100614; https://www.sciencedirect.com/science/article/pii/S2451865420300983?v=s5,220548210.0,2020.0,84
rbz5oirf,WHO,R2N and the use of alternative methods in COVID-19 research,,unk,Unknown,,"Boyle, Erin C; Bleich, André",ALTEX,,224829415.0,,1
a5k530xv,Medline; WHO,Dr. Jan Holsheimer 1941-2021.,10.1111/ner.13416,unk,Unknown,2021-06-01,"Lenders, Mathieu W P M; Kho, Kuan H; de Vos, Cecile C; Elands, André",Neuromodulation : journal of the International Neuromodulation Society,https://www.ncbi.nlm.nih.gov/pubmed/34160874/; https://doi.org/10.1111/ner.13416,235609273.0,2021.0,1
qco3fmde,WHO,Symptoms-Based Fuzzy-Logic Approach for COVID-19 Diagnosis,,unk,"The coronavirus (COVID-19) pandemic has caused severe adverse effects on the human life and the global economy affecting all communities and individuals due to its rapid spreading, increase in the number of affected cases and creating severe health issues and death cases worldwide. Since no particular treatment has been acknowledged so far for this disease, prompt detection of COVID-19 is essential to control and halt its chain. In this paper, we introduce an intelligent fuzzy inference system for the primary diagnosis of COVID-19. The system infers the likelihood level of COVID-19 infection based on the symptoms that appear on the patient. This proposed inference system can assist physicians in identifying the disease and help individuals to perform self-diagnosis on their own cases. © 2021",,"Shatnawi, M.; Shatnawi, A.; AlShara, Z.; Husari, G.",International Journal of Advanced Computer Science and Applications,,235408401.0,,124
9rkd81dy,Medline,"Mycobacteriosis, Mycobacterium chelonae, in a captive yellow stingray (Urobatis jamaicensis).",,unk,An adult yellow stingray (Urobatis jamaicensis) from a touch-tank exhibit developed a large abscess on the dorsal aspect of the calvarium and swollen soft tissue surrounding the left spiracle. A large amount of fluid exudate was drained from the abscess. Mycobacterium chelonae was diagnosed by cytology of the exudate and by polymerase chain reaction and sequencing. The animal was euthanized and disseminated mycobacteriosis was confirmed with histology.,,"Clarke, Elsburgh O; Dorn, Brian; Boone, Allison; Risatti, Guillermo; Gilbert-Marcheterre, Kelly; Harms, Craig A",Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians,https://www.ncbi.nlm.nih.gov/pubmed/23805569/,26128142.0,,67
mrem1vgh,WHO,Factors associated with knowledge and perceptions regarding the COVID-19 pandemic among future health science professionals: A logistic model analysis,10.4103/jioh.jioh_121_21,unk,"Aim: This study aimed to determine the factors associated with knowledge and perceptions regarding the coronavirus disease-2019 (COVID-19) pandemic among undergraduate students in different health science fields. Materials and Methods: An analytical, cross-sectional, prospective study was conducted. Data were collected between January and March 2021, from health science undergraduate students attending Federico Villarreal National University in Peru. To calculate the sample size, a formula to estimate a proportion was applied using Stata 15 software (n = 527). The examined factors were faculty, year of study, gender, region, residence, living with parents, and having family members infected with COVID-19, which were analyzed using a logit model to identify the impact of the intervening variables with a significance of P < 0.05. Results: None of the variables studied were found to affect knowledge and perceptions regarding COVID-19 preventive measures among Peruvian health science students, with the following odds ratios (OR) obtained: faculty (OR = 0.96;95% confidence interval [CI]: 0.83–1.12), year of study (OR = 0.98;CI: 0.77–1.25), gender (OR = 1.12;CI: 0.54–2.28), region (OR = 1.32;CI: 0.35–4.78), residence (OR = 0.97;CI: 0.48–1.95), living with parents (OR = 1.5;CI: 0.52–4.39), and having infected family members (OR = 1.5;CI: 0.64–3.49). Conclusion: The results of this study show that students at a Peruvian public university have adequate knowledge and perceptions regarding preventive strategies to avoid contracting and spreading COVID-19. In addition, none of the examined factors were significant in this relationship.",,"Chuquimez, Casimira Jasmín De la Cruz Daniel Alvitez-Temoche Temoche Abigail Munive-Degregori Arnaldo Mayta-Tovalino Frank",Journal of International Oral Health,https://doi.org/10.4103/jioh.jioh_121_21,244897551.0,,235
wfwck1mn,WHO,Chest imaging findings in COVID-19 patients: a case series from Nigeria,,unk,"COVID-19 is a global pandemic ravaging the whole world with large numbers of reported cases globally. It is a highly-contagious novel infectious disease that causes inflammation in the respiratory system. Chest imaging is a useful adjunct for diagnosis, documenting the extent of disease as well as observation of changes and is thus, strongly recommended in suspected COVID-19 cases, for initial evaluation, differential diagnoses and follow-up. Description of typical imaging findings abound worldwide with a dearth of similar publications in sub-Saharan Africa. This series documents the chest imaging findings from a single facility of four cases between the ages of 38 and 60 who all tested positive for COVID-19 with real-time, reverse transcriptase polymerase chain reaction of the nasopharyngeal swabs.",,"Ajiboye, Olubukola Khadija; Katibi, Oludolapo Sherifat; Ayeni, Ohiole; Osuoji, Chiedozie; Agbaje, Olubusayo Abimbola",Pan Afr Med J,,226602307.0,,119
